f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type,ln_price,n_beds2,ln_bathrooms,ln_number_of_reviews,n_days_since_rv2,n_host_acceptance_rate2,n_host_response_rate2,ln_host_total_listings_count,n_bedrooms2
Entire rental unit,Yangpu District,100,99,18,4,1,2,3,5,15,0.82,1,109,1,1,1,1,1,1,1,1,0,1,1,0,1,263,51477079,Yangpu District,Entire rental unit,5.572154032177765,4,0,1.3862943611198906,11881,9801,10000,2.8903717578961645,1
Entire rental unit,Huangpu District,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,281,51477343,Huangpu District,Entire rental unit,5.638354669333745,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Huangpu District,96,95,196,4,1,2,0,NA,90,NA,1,NA,0,1,1,1,1,1,1,1,0,1,0,0,1,357,51477453,Huangpu District,Entire rental unit,5.877735781779639,4,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Huangpu District,96,95,196,4,1,2,0,NA,90,NA,1,NA,0,1,1,1,1,0,1,1,0,1,0,0,1,348,51477469,Huangpu District,Entire rental unit,5.8522024797744745,4,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Minhang District,96,95,196,2,1,1,1,1,90,1,1,30,0,1,1,1,1,1,0,1,0,0,0,0,1,155,51477522,Minhang District,Entire rental unit,5.043425116919247,1,0,0.6931471805599453,900,9025,9216,5.278114659230517,1
Entire rental unit,Pudong,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,224,51477685,Pudong,Entire rental unit,5.4116460518550396,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Pudong,100,100,46,6,3,3,0,NA,25,NA,2,NA,0,1,1,1,1,0,1,1,0,0,1,0,0,776,51478357,Pudong,Entire rental unit,6.654152520183219,9,0.6931471805599453,0,NA,10000,10000,3.828641396489095,9
Entire rental unit,Pudong,100,100,46,6,3,3,0,NA,25,NA,2,NA,0,1,1,1,1,1,1,1,0,0,1,0,0,869,51478587,Pudong,Entire rental unit,6.767343125265392,9,0.6931471805599453,0,NA,10000,10000,3.828641396489095,9
Entire rental unit,Jing'an District,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,535,51478619,Jing'an District,Entire rental unit,6.282266746896006,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Huangpu District,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,1,1,0,0,1,0,1,371,51478635,Huangpu District,Entire rental unit,5.916202062607435,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Minhang District,96,95,196,3,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,172,51478644,Minhang District,Entire rental unit,5.147494476813453,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Minhang District,96,95,196,3,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,0,0,1,0,0,0,0,1,172,51478654,Minhang District,Entire rental unit,5.147494476813453,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Pudong,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,1,1,1,0,0,0,0,1,113,51478695,Pudong,Entire rental unit,4.727387818712341,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Pudong,96,95,196,2,1,2,0,NA,90,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,1,91,51478741,Pudong,Entire rental unit,4.51085950651685,4,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Changning District,96,95,196,2,1,1,0,NA,90,NA,1,NA,0,1,1,1,1,1,0,1,0,0,0,0,1,184,51478766,Changning District,Entire rental unit,5.214935757608986,1,0,0,NA,9025,9216,5.278114659230517,1
Entire rental unit,Songjiang District,88,94,3,2,1,1,0,NA,2,NA,1,NA,0,1,1,1,1,1,0,1,0,0,1,0,1,259,51481560,Songjiang District,Entire rental unit,5.556828061699537,1,0,0,NA,8836,7744,1.0986122886681098,1
