f_property_type,f_neighbourhood,n_host_response_rate,n_host_acceptance_rate,n_host_total_listings_count,n_accommodates,n_bedrooms,n_beds,n_number_of_reviews,n_review_scores_rating,n_calculated_host_listings_count,n_reviews_per_month,n_bathrooms,n_days_since_rv,d_superhost,d_profile_pic,d_identity_verified,d_instant_bookable,d_wifi,d_tv,d_refrigerator,d_air_conditioning,d_baby,d_stove,d_microwave,d_free_parking,d_paid_parking,price,id,neighbourhood_cleansed,property_type
Entire rental unit,Pudong,100,100,4,4,2,2,1,4,4,0.03,1,937,0,1,1,1,1,1,1,1,0,1,1,0,1,588,21808741,Pudong,Entire rental unit
Entire loft,Xuhui District,100,100,1,3,1,2,167,4.85,2,3.39,1,1475,1,1,1,1,1,1,1,1,0,1,1,0,0,389,21819186,Xuhui District,Entire loft
Entire rental unit,Huangpu District,NA,100,1,2,1,1,0,NA,1,NA,1,NA,0,1,1,0,1,0,0,1,0,0,0,0,0,550,21851726,Huangpu District,Entire rental unit
Entire rental unit,Pudong,100,99,6,2,1,1,174,4.93,6,3.53,1,1477,1,1,1,1,1,1,1,1,0,1,0,0,1,408,21887282,Pudong,Entire rental unit
Entire serviced apartment,Huangpu District,100,100,6,5,1,2,21,4.86,5,0.43,1,1475,0,1,1,0,1,1,0,1,0,0,0,0,0,658,21892230,Huangpu District,Entire serviced apartment
Entire rental unit,Jing'an District,100,99,18,3,1,1,56,4.89,6,1.13,1,1482,1,1,1,0,1,1,1,1,0,1,1,0,1,805,21900755,Jing'an District,Entire rental unit
Entire rental unit,Huangpu District,NA,NA,7,3,1,2,24,4.21,5,0.48,1,1488,0,1,1,0,1,1,1,1,0,0,0,0,0,6666,21915337,Huangpu District,Entire rental unit
Entire rental unit,Jing'an District,0,100,8,2,1,1,130,4.61,4,2.63,1,1482,0,1,1,0,1,1,0,1,0,0,0,0,0,479,21931825,Jing'an District,Entire rental unit
Entire loft,Pudong,100,97,5,2,1,1,9,5,3,0.19,1,1430,1,1,1,1,1,1,1,1,0,1,1,0,1,587,21956569,Pudong,Entire loft
Entire rental unit,Changning District,100,100,16,2,1,1,4,4.67,16,0.08,1,1454,0,1,1,1,1,1,1,1,0,1,1,0,1,337,21973166,Changning District,Entire rental unit
Entire rental unit,Pudong,100,100,6,2,1,1,20,4.75,4,0.44,1,1378,0,1,1,0,1,0,1,1,0,0,1,0,1,329,21983117,Pudong,Entire rental unit
Entire rental unit,Jiading District,100,100,6,3,2,2,4,4.5,6,0.08,1,1471,1,1,1,1,1,1,1,1,0,0,0,0,1,281,21990380,Jiading District,Entire rental unit
Entire rental unit,Hongkou District,0,76,10,2,1,1,25,5,9,0.51,1,1479,0,1,1,0,1,0,1,1,1,0,0,0,1,580,22000894,Hongkou District,Entire rental unit
Entire loft,Jiading District,100,99,4,4,1,2,39,4.69,2,0.79,1,1478,0,1,1,1,1,1,1,1,0,1,1,1,1,324,22001153,Jiading District,Entire loft
